index,time
0,4480062
1,922633
2,867032
3,941735
4,982836
5,871132
6,818030
7,821730
8,826330
9,1240846
10,1318248
11,1338649
12,1374450
13,1382050
14,1402251
15,1218345
16,1233345
17,1228045
18,784829
19,621722
20,523919
21,521119
22,511219
23,533420
24,506419
25,521719
26,497018
27,513219
28,506418
29,511119
30,628823
31,642924
32,1680661
33,520919
34,380514
35,176906
36,215608
37,164606
38,171106
39,164806
40,199308
41,167406
42,164506
43,166706
44,172406
45,165606
46,162705
47,164206
48,166406
49,171907
50,164106
51,170807
52,165206
53,165006
54,173306
55,164806
56,164506
57,164106
58,165206
59,164006
60,163906
61,189107
62,169606
63,186407
64,165806
65,165906
66,178807
67,143505
68,115304
69,294210
70,443016
71,472117
72,437216
73,445716
74,434416
75,452717
76,442916
77,456917
78,444516
79,619523
80,506119
81,448016
82,474417
83,443316
84,450516
85,441216
86,469617
87,445917
88,455617
89,442716
90,452017
91,435915
92,449216
93,440416
94,442116
95,443417
96,457517
97,437516
98,454017
99,440917
100,450517
101,444316
102,481518
103,444016
104,453316
105,442116
106,448517
107,441017
108,467717
109,444416
110,462917
111,445916
112,445716
113,439716
114,450716
115,445817
116,452616
117,437216
118,466517
119,455917
120,461617
121,474517
122,455317
123,454617
124,456917
125,472517
126,698026
127,534020
128,566521
129,551720
130,543520
131,544120
132,540020
133,450717
134,450717
135,455316
136,440216
137,450416
138,464717
139,454216
140,448916
141,446316
142,464117
143,564020
144,576421
145,489018
146,546420
147,574121
148,582021
149,589022
150,1377550
151,113904
152,113504
153,114004
154,106103
155,129305
156,113705
157,110904
158,111804
159,110904
160,108504
161,106104
162,111104
163,118504
164,106503
165,103204
166,106904
167,110605
168,107304
169,105504
170,105603
171,115604
172,106003
173,104704
174,104704
175,103304
176,104603
177,103204
178,103904
179,104404
180,111204
181,104704
182,104304
183,103304
184,115504
185,111904
186,105304
187,214308
188,415615
189,204008
190,111204
191,138505
192,114205
193,111505
194,113204
195,114704
196,107204
197,136705
198,132105
199,183306
200,177407
201,142606
202,129805
203,152805
204,109104
205,115204
206,119104
207,107204
208,106504
209,109704
210,117604
211,118705
212,128605
213,125004
214,114204
215,108104
216,107504
217,115204
218,108104
219,105604
220,104804
221,106504
222,130005
223,116304
224,122605
225,109404
226,106903
227,104204
228,103404
229,111804
230,111904
231,107004
232,106604
233,103803
234,127104
235,105104
236,104104
237,114204
238,106504
239,108404
240,111904
241,112704
242,108304
243,112304
244,108904
245,106904
246,106404
247,110804
248,109104
249,106704
250,106104
251,107704
252,107703
253,124904
254,103904
255,132705
256,127604
257,122405
258,114804
259,105704
260,107904
261,120204
262,110604
263,113004
264,109504
265,116104
266,109104
267,109304
268,743727
269,116004
270,113705
271,116404
272,108804
273,110904
274,109504
275,105803
276,123604
277,114204
278,114505
279,126005
280,135805
281,134405
282,132904
283,139405
284,148106
285,127205
286,105904
287,120005
288,113504
289,109004
290,104704
291,113504
292,104304
293,103603
294,104804
295,103704
296,104004
297,109904
298,105704
299,119004
300,106303
301,102804
302,103204
303,103704
304,105304
305,111604
306,106604
307,106004
308,118004
309,108904
310,107904
311,105203
312,104404
313,104604
314,104504
315,104004
316,103204
317,110804
318,108304
319,105703
320,105304
321,114604
322,104204
323,108304
324,110904
325,114504
326,108704
327,103904
328,105004
329,103704
330,104103
331,104204
332,102704
333,104604
334,113704
335,104904
336,105003
337,103103
338,104704
339,104804
340,102804
341,104004
342,111804
343,108604
344,107804
345,107104
346,106904
347,104204
348,103704
349,103704
350,104004
351,113104
352,104904
353,103304
354,104304
355,119705
356,106104
357,104504
358,104003
359,110604
360,105704
361,103004
362,104203
363,104904
364,139105
365,111104
366,107103
367,114504
368,105604
369,104804
370,104704
371,103904
372,105404
373,104903
374,103804
375,110704
376,105904
377,103903
378,104203
379,103804
380,103804
381,111904
382,108004
383,174306
384,136005
385,117504
386,844131
387,115105
388,112005
389,111304
390,114804
391,107404
392,105704
393,104204
394,112204
395,107004
396,107304
397,107304
398,105204
399,115104
400,104604
401,107404
402,109404
403,112904
404,111704
405,106004
406,106604
407,111805
408,104004
409,105004
410,107104
411,111004
412,125204
413,110104
414,107104
415,106204
416,105003
417,104404
418,102804
419,103904
420,104004
421,103704
422,104204
423,103504
424,109504
425,105104
426,112604
427,115905
428,108904
429,104104
430,105004
431,109404
432,111504
433,116204
434,107804
435,113605
436,110904
437,106504
438,106203
439,104004
440,103004
441,114304
442,107404
443,105504
444,106204
445,121205
446,105304
447,103604
448,104504
449,116404
450,106704
451,109304
452,103804
453,104004
454,104903
455,103203
456,108104
457,105704
458,108904
459,103403
460,104303
461,105304
462,104404
463,103204
464,104304
465,104804
466,103304
467,110705
468,104204
469,110204
470,104604
471,103704
472,104903
473,104004
474,108304
475,112104
476,105404
477,104904
478,104604
479,103004
480,121505
481,103904
482,103704
483,105904
484,116704
485,106104
486,103604
487,103303
488,104903
489,103604
490,108304
491,108204
492,115304
493,109104
494,108704
495,108804
496,105904
497,103903
498,103904
499,104904
500,102104
501,110604
502,103604
