index,time
0,922816
1,363606
2,301405
3,329906
4,184503
5,166702
6,215503
7,278405
8,446808
9,139002
10,124802
11,155802
12,194903
13,133002
14,117802
15,167403
16,109602
17,106802
18,107402
19,151602
20,109602
21,104702
22,101302
23,101702
24,88302
25,90402
26,88102
27,80701
28,81102
29,91601
30,81102
31,77602
32,86601
33,82901
34,82802
35,82502
36,75202
37,75801
38,80201
39,86201
40,110301
41,81801
42,116802
43,112602
44,82501
45,76801
46,82202
47,78802
48,77501
49,81801
50,83801
51,82201
52,81502
53,99701
54,112102
55,85601
56,80601
57,97402
58,87101
59,105302
60,89101
61,100302
62,92702
63,89401
64,84301
65,81802
66,85501
67,120302
68,136702
69,89301
70,83002
71,79201
72,82601
73,78101
74,83302
75,114901
76,98602
77,122602
78,77701
79,80402
80,127302
81,55101
82,50300
83,80102
84,53901
85,58401
86,49401
87,58201
88,61801
89,126102
90,153002
91,135002
92,105602
93,146102
94,115501
95,126302
96,104302
97,97702
98,122402
99,169202
100,121402
101,120802
102,103802
103,110002
104,92901
105,105502
106,97202
107,103202
108,115602
109,100402
110,103701
111,87602
112,88002
113,99702
114,85701
115,100001
116,142902
117,137602
118,103701
119,95102
120,103302
121,90802
122,95802
123,202403
124,60301
125,51101
126,49001
127,38101
128,30400
129,29201
130,28401
131,28100
132,26600
133,26001
134,25501
135,43201
136,28901
137,67401
138,28200
139,26100
140,33101
141,26601
142,25901
143,25300
144,25500
145,25300
146,25701
147,25801
148,61101
149,27101
150,35401
151,27301
152,24601
153,24201
154,45001
155,25300
156,30901
157,24700
158,27700
159,27100
160,31900
161,25500
162,24600
163,24500
164,24400
165,25200
166,24300
167,25700
168,26800
169,25900
170,25801
171,24801
172,24500
173,25100
174,24200
175,24200
176,31400
177,30801
178,25101
179,26101
180,24601
181,26401
182,26100
183,25900
184,24700
185,24800
186,24100
187,24300
188,24400
189,26300
190,24200
191,39700
192,25800
193,25801
194,28100
195,25100
196,24400
197,24800
198,24800
199,84801
200,26400
201,24700
202,27701
203,65101
204,31800
205,26700
206,96001
207,26401
208,24501
209,102201
210,28601
211,25301
212,24601
213,24101
214,24100
215,24100
216,24000
217,34900
218,25601
219,53601
220,25100
221,25800
222,24800
223,24400
224,32701
225,25000
226,25000
227,122102
228,27301
229,47600
230,27800
231,26200
232,26600
233,23900
234,25101
235,24201
236,23601
237,23901
238,25101
239,39301
240,25001
241,25201
242,29501
243,23801
244,24601
245,24700
246,29800
247,24000
248,23600
249,24500
250,56401
251,25801
252,23701
253,23301
254,23500
255,34401
256,24401
257,24200
258,24800
259,24100
260,67502
261,29101
262,24201
263,25301
264,30000
265,24000
266,23500
267,24000
268,23600
269,23500
270,45400
271,24500
272,26500
273,24900
274,24400
275,23900
276,23600
277,23400
278,23500
279,23301
280,36001
281,23700
282,26501
283,23501
284,23501
285,23601
286,23401
287,24201
288,23600
289,24600
290,23700
291,56301
292,23801
293,64801
294,25300
295,26400
296,23700
297,24000
298,23500
299,23500
300,23400
301,52300
302,23700
303,27200
304,31300
305,25100
306,23800
307,23500
308,23300
309,23500
310,23400
311,45801
312,26101
313,23601
314,23601
315,23501
316,23400
317,23400
318,23300
319,23400
320,25300
321,37400
322,24600
323,23600
324,26300
325,23400
326,32600
327,25400
328,22500
329,23600
330,22500
331,68501
332,23200
333,32701
334,27900
335,22300
336,32101
337,22600
338,24900
339,22201
340,25101
341,22201
342,51801
343,22300
344,22301
345,25301
346,24101
347,22900
348,22400
349,22100
350,22100
351,22200
352,41700
353,29900
354,23000
355,22400
356,22300
357,22000
358,22100
359,22601
360,24001
361,24901
362,36201
363,24900
364,23701
365,22401
366,25101
367,22201
368,27001
369,28701
370,23001
371,22901
372,31701
373,22901
374,22601
375,22101
376,24401
377,22000
378,22200
379,22300
380,22500
381,22100
382,21901
383,77401
384,45101
385,35900
386,27601
387,24000
388,20500
389,20600
390,20801
391,43501
392,20900
393,46601
394,20701
395,22701
396,20600
397,20401
398,20300
399,20800
400,20400
401,20500
402,20400
403,41100
404,21300
405,20700
406,20301
407,20501
408,23300
409,23300
410,30500
411,20500
412,20000
413,28700
414,23200
415,20100
416,35600
417,17800
418,15200
419,15000
420,15001
421,15000
422,14900
423,17800
424,18401
425,18101
426,15200
427,15400
428,15000
429,18001
430,17900
431,15100
432,15100
433,17101
434,15100
435,15000
436,14900
437,22300
438,15001
439,15000
440,15000
441,14800
442,17101
443,15100
444,15000
445,17900
446,14901
447,15000
448,15000
449,14900
450,17801
451,33801
452,15200
453,42301
454,23400
455,19201
456,14100
457,13000
458,12701
459,13300
460,12800
461,13001
462,12800
463,15000
464,16700
465,15901
466,14701
467,17700
468,14700
469,14601
470,14600
471,27100
472,14400
473,14000
474,14101
475,14200
476,14200
477,14200
478,35901
479,27601
480,22300
481,15501
482,19801
483,14700
484,12500
485,19200
486,21700
487,12300
488,12301
489,12200
490,12200
491,12000
492,23900
493,16900
494,19200
495,13200
496,13001
497,12100
498,12400
499,12201
500,12400
501,12200
502,12201
503,12200
504,12900
505,12100
506,12200
507,12200
508,12100
509,12101
510,12100
511,12100
512,12200
513,12200
514,12100
515,12200
516,13300
517,12001
518,12000
519,12000
520,12001
521,12200
522,12100
523,12100
524,12200
525,12800
526,12000
527,12001
528,12000
529,12100
530,12501
531,12100
532,12100
533,12200
534,12201
535,12100
536,12100
537,12101
538,12300
539,12100
540,12200
541,12100
542,12000
543,12100
544,12201
545,12200
546,12100
547,12101
548,12300
549,13200
550,12201
551,12100
552,12100
553,12100
554,12101
555,12100
556,12300
557,12101
558,12100
559,12000
560,12000
561,12100
562,12100
563,12100
564,12401
565,12200
566,12200
567,13000
568,12400
569,12200
570,12200
571,12200
572,12101
573,12100
574,12500
575,12300
576,12100
577,12000
578,12100
579,12201
580,12300
581,12400
582,11901
583,12300
584,12100
585,12000
586,11900
587,12100
588,12100
589,12101
590,12100
591,12200
592,12201
593,12100
594,25200
595,12101
596,12200
597,12200
598,12301
599,12400
