index,time
0,1237882
1,638748
2,632599
3,634371
4,457067
5,447041
6,447231
7,381833
8,378116
9,363532
10,347055
11,243574
12,224903
13,222028
14,192288
15,193871
16,217100
17,184236
18,180650
19,185187
20,182693
21,185988
22,184776
23,183484
24,182132
25,188672
26,185597
27,180910
28,171354
29,176122
30,173958
31,174199
32,175141
33,171875
34,247400
35,172906
36,177434
37,214766
38,179939
39,175981
40,184286
41,174129
42,207204
43,187591
44,191227
45,175251
46,174940
47,201364
48,179227
49,195614
50,176713
51,184395
52,193541
53,174139
54,192770
55,183264
56,190556
57,175300
58,181450
59,189575
60,178867
61,220476
62,173518
63,183184
64,192529
65,175180
66,193040
67,188843
68,223370
69,172876
70,179427
71,188883
72,177344
73,186980
74,173107
75,190817
76,186439
77,173478
78,217010
79,186469
80,190866
81,158853
82,149818
83,193902
84,155408
85,145361
86,132279
87,133171
88,158483
89,133712
90,150078
91,134974
92,132730
93,156309
94,138490
95,148285
96,135765
97,154396
98,134784
99,139020
100,149918
101,135594
102,160856
103,143669
104,128172
105,172015
106,130326
107,158583
108,128413
109,130977
110,148636
111,131638
112,150650
113,130877
114,160005
115,129324
116,133471
117,170713
118,132730
119,130967
120,143338
121,128803
122,154536
123,130176
124,180389
125,130616
126,149508
127,133822
128,162049
129,131108
130,129555
131,161648
132,139050
133,129204
134,137097
135,139130
136,148567
137,421799
138,432456
139,513521
140,225313
141,127361
142,127421
143,160937
144,130767
145,128493
146,139962
147,156659
148,146222
149,131898
150,139391
151,127200
152,124025
153,126750
154,164353
155,135905
156,124727
157,133872
158,165774
159,126379
160,136967
161,126269
162,133801
163,125047
164,128814
165,142376
166,128042
167,123735
168,137598
169,166466
170,134173
171,123875
172,139882
173,148536
174,131047
175,134744
176,125558
177,146312
178,126910
179,128263
180,138059
181,136496
182,127111
183,124076
184,163811
185,135315
186,130947
187,133452
188,151081
189,125007
190,140243
191,124697
192,146493
193,126098
194,124617
195,137347
196,142537
197,135785
198,125968
199,173127
200,129575
201,142065
202,127752
203,149168
204,131248
205,124126
206,150710
207,134283
208,125338
209,185949
210,134442
211,164593
212,130246
213,130897
214,158553
215,124677
216,136566
217,129344
218,157100
219,156319
220,123295
221,138249
222,137768
223,135455
224,123956
225,125118
226,143298
227,127371
228,137949
229,177705
230,123665
231,138099
232,124957
233,180489
234,125929
235,124567
236,126379
237,143458
238,115401
239,122683
240,103562
241,115962
242,102470
243,99605
244,133612
245,103472
246,101027
247,99195
248,121261
249,98182
250,143258
251,105445
252,119158
253,102620
254,100948
255,107969
256,117125
257,105194
258,99424
259,134062
260,131878
261,100406
262,98083
263,141274
264,98193
265,107458
266,99455
267,119077
268,100747
269,98463
270,128443
271,111415
272,95217
273,96219
274,124907
275,100908
276,104373
277,103522
278,114600
279,95288
280,116694
281,109362
282,105194
283,103512
284,89267
285,89889
286,105625
287,89668
288,91592
289,119468
290,101278
291,89237
292,92273
293,106237
294,93585
295,90450
296,91842
297,106807
298,97873
299,89008
300,90970
301,98583
302,90550
303,94035
304,121001
305,107538
306,91361
307,91692
308,108080
309,89649
310,91201
311,87615
312,105214
313,96921
314,92614
315,88607
316,104383
317,88207
318,89599
319,116102
320,101959
321,88477
322,96109
323,104443
324,90990
325,89388
326,90230
327,107809
328,88977
329,90260
330,88958
331,101308
332,97221
333,89708
334,125879
335,95128
336,93755
337,89889
338,106767
339,89358
340,92985
341,89588
342,116963
343,91271
344,91511
345,89298
346,105935
347,91641
348,89278
349,117175
350,93916
351,90630
352,89539
353,102449
354,89237
355,90991
356,91852
357,100947
358,95819
359,89659
360,94086
361,100156
362,91001
363,88507
364,120329
365,98603
366,90470
367,90239
368,99375
369,95238
370,89027
371,90210
372,98093
373,102109
374,88527
375,90419
376,103762
377,92623
378,89058
379,115060
380,96159
381,92333
382,90259
383,107869
384,91121
385,90610
386,89298
387,102821
388,107478
389,93706
390,90400
391,105495
392,97452
393,93695
394,112337
395,91993
396,90590
397,91502
398,114830
399,89929
400,90500
401,96129
402,107548
403,92173
404,90209
405,90460
406,98844
407,91361
408,89187
409,113287
410,94647
411,92433
412,90149
413,143778
414,88947
415,91211
416,88306
417,102640
418,91021
419,89278
420,93695
421,108710
422,91452
423,89668
424,110443
425,92424
426,90199
427,87866
428,143098
429,88377
430,91301
431,88237
432,101058
433,89068
434,90611
435,89238
436,119138
437,88147
438,96360
439,164233
440,97772
441,89799
442,87214
443,159906
444,93736
445,67372
446,64578
447,64187
448,63235
449,65038
450,67382
451,65909
452,67842
453,63916
454,69475
455,64818
456,66620
457,71639
458,64106
459,65719
460,64968
461,75004
462,63696
463,65709
464,63355
465,65438
466,63956
467,65659
468,63375
469,62133
470,62554
471,62483
472,67452
473,62704
474,62194
475,62734
476,62454
477,62443
478,62184
479,62133
480,62714
481,62304
482,62644
483,62895
484,62924
485,74825
486,62093
487,63906
488,63435
489,62684
490,66490
491,62564
492,64487
493,63755
494,63645
495,63665
496,63596
497,63906
498,71259
499,63916
500,63525
501,63375
502,64187
503,63816
504,63746
505,63545
506,63405
507,64778
508,63666
509,66300
510,64056
511,74313
512,64728
513,64848
514,62384
515,66420
516,62544
517,63836
518,63045
519,63555
520,62675
521,62574
522,62053
523,77018
524,62824
525,62744
526,62564
527,62404
528,62865
529,62755
530,62374
531,62954
532,62224
533,63055
534,62253
535,62734
536,78531
537,62624
538,62865
539,62955
540,62584
541,63135
542,63496
543,62384
544,63466
545,61852
546,71509
547,61873
548,62253
549,67552
550,63525
551,62534
552,61482
553,62794
554,64717
555,61342
556,61672
557,61152
558,61262
559,62173
560,61322
561,61051
562,61172
563,70678
564,62133
565,61242
566,61032
567,61252
568,64748
569,62103
570,61953
571,61412
572,61212
573,61392
574,61722
575,61852
576,61181
577,70076
578,61281
579,61182
580,62564
581,61713
582,64397
583,61682
584,61512
585,62083
586,61372
587,61161
588,61903
589,61232
590,71138
591,62193
592,61182
593,62574
594,61392
595,62604
596,61251
597,60931
598,61592
599,61131
