index,time
0,888303
1,750403
2,735203
3,688602
4,779803
5,707602
6,698502
7,708902
8,719202
9,710702
10,737902
11,692302
12,691302
13,718502
14,706102
15,680102
16,711602
17,728102
18,742703
19,692402
20,691502
21,701302
22,741503
23,708203
24,714103
25,726303
26,705803
27,678703
28,700303
29,701903
30,701903
31,710503
32,704903
33,735603
34,707603
35,687703
36,712603
37,792403
38,707702
39,714002
40,716302
41,677802
42,690902
43,702002
44,698202
45,719602
46,702002
47,696802
48,721802
49,742102
50,696702
51,695602
52,703203
53,698603
54,704203
55,698703
56,704003
57,778703
58,738403
59,707903
60,698403
61,702903
62,709203
63,724503
64,708102
65,742202
66,738802
67,695602
68,687302
69,701802
70,697102
71,709502
72,716302
73,720702
74,740802
75,702302
76,700702
77,709702
78,713802
79,715003
80,712903
81,739203
82,708303
83,690903
84,688103
85,701603
86,714403
87,704203
88,701603
89,726803
90,701503
91,711103
92,699203
93,712903
94,703003
95,710303
96,706603
97,738803
98,702503
99,699003
100,705103
101,710403
102,701603
103,726202
104,716802
105,728802
106,708902
107,681202
108,716702
109,886803
110,723602
111,708402
112,717102
113,713602
114,698402
115,728802
116,702802
117,701702
118,711202
119,711802
120,716602
121,700302
122,720202
123,744303
124,705103
125,700803
126,704003
127,717903
128,695603
129,705803
130,718503
131,739403
132,686203
133,691503
134,702603
135,709002
136,718702
137,710002
138,737703
139,744903
140,711403
141,697102
142,725902
143,768203
144,714603
145,717603
146,713003
147,719503
148,718002
149,705902
150,696503
151,708303
152,702303
153,713403
154,707003
155,719102
156,718602
157,690402
158,687602
159,707102
160,691202
161,699103
162,707603
163,736203
164,702903
165,680902
166,694402
167,707602
168,720302
169,719102
170,715402
171,705703
172,690903
173,698003
174,702703
175,699503
176,697603
177,725803
178,740502
179,701302
180,698002
181,695102
182,719703
183,709703
184,713603
185,712003
186,733003
187,682902
188,683802
189,694802
190,701502
191,688702
192,706602
193,740703
194,686003
195,683803
196,714303
197,740802
198,704802
199,690102
200,714203
201,734903
202,696303
203,687203
204,692603
205,709703
206,704802
207,710902
208,720202
209,692802
210,679802
211,715002
212,706303
213,680403
214,711703
215,726003
216,729503
217,680802
218,690802
219,706002
220,699802
221,701402
222,706202
223,704502
224,699403
225,692803
226,698903
227,712703
228,711203
229,711302
230,727302
231,736102
232,683702
233,704803
234,915203
235,697703
236,706103
237,711003
238,685103
239,712103
240,744303
241,707202
242,694003
243,690503
244,702103
245,725103
246,709203
247,718402
248,700002
249,706802
250,695102
251,754803
252,711703
253,704403
254,715303
255,720603
256,734502
257,699302
258,695102
259,702302
260,714603
261,704103
262,695703
263,708003
264,733603
265,703202
266,690202
267,702302
268,723602
269,717703
270,708303
271,728303
272,734603
273,696802
274,688602
275,697002
276,705602
277,690002
278,708102
279,704202
280,698803
281,697803
282,692503
283,713403
284,709303
285,704802
286,725402
287,741902
288,698803
289,689403
290,701603
291,701303
292,712102
293,702502
294,722302
295,699602
296,717602
297,944304
298,716403
299,699403
300,705402
301,724202
302,710102
303,720203
304,725303
305,726602
306,733402
307,704302
308,688902
309,711003
310,724103
311,732003
312,696003
313,710802
314,753002
315,709702
316,693602
317,701803
318,706803
319,719403
320,697803
321,695803
322,702602
323,710702
324,699102
325,713502
326,733503
327,723303
328,699603
329,704003
330,713403
331,716402
332,712702
333,704902
334,721602
335,737603
336,700703
337,704802
338,715302
339,759503
340,706603
341,714203
342,712503
343,720703
344,693802
345,681702
346,697102
347,718402
348,688702
349,690602
350,727002
351,743403
352,681903
353,689803
354,696903
355,706403
356,701003
357,710302
358,737602
359,707002
360,678302
361,697402
362,707803
363,706403
364,720203
365,706503
366,688003
367,686903
368,693303
369,707303
370,699002
371,712102
372,716102
373,727002
374,679202
375,699803
376,707603
377,715203
378,700703
379,699803
380,699102
381,679502
382,708702
383,708102
384,710003
385,689303
386,701703
387,722503
388,733703
389,681202
390,686402
391,694902
392,759102
393,709102
394,707803
395,678003
396,697303
397,689903
398,687903
399,714503
400,693303
401,708003
402,743502
403,735802
404,725603
405,703703
406,688503
407,702503
408,744003
409,689502
410,695902
411,702602
412,706102
413,713702
414,716902
415,715303
416,751103
417,709402
418,696002
419,696302
420,724102
421,715202
422,702403
423,718003
424,740003
425,676503
426,697003
427,697603
428,819903
429,713903
430,712703
431,696902
432,729002
433,738902
434,694202
435,706403
436,719203
437,709003
438,738103
439,701402
440,813502
441,721103
442,695203
443,704903
444,736103
445,690303
446,710203
447,703003
448,698403
449,729603
450,698803
451,704803
452,693703
453,701303
454,710902
455,719802
456,725702
457,705902
458,743803
459,701403
460,699003
461,703903
462,774802
463,727903
464,715303
465,868203
466,841003
467,742902
468,705903
469,749003
470,731403
471,811203
472,911803
473,709202
474,693402
475,706403
476,704203
477,711803
478,921103
479,985304
480,729103
481,741503
482,715802
483,693602
484,701202
485,1029503
486,931003
487,703902
488,888803
489,864404
490,710603
491,696503
492,939404
493,712603
494,736603
495,813203
496,841103
497,711403
498,745003
499,733803
500,720203
501,698102
502,820903
503,739103
504,710303
505,697703
506,733503
507,685803
508,717603
509,863403
510,687502
511,695902
512,739002
513,724103
514,712103
515,756203
516,721403
517,731503
518,699703
519,709803
520,747403
521,739402
522,691002
523,700102
524,704902
525,682002
526,710002
527,706102
528,707002
529,706002
530,696102
531,785603
532,707203
533,729803
534,710003
535,692103
536,704003
537,691303
538,695603
539,703603
540,707503
541,700103
542,695603
543,701403
544,704503
545,722603
546,747303
547,682303
548,695803
549,707003
550,711103
551,700703
552,736003
553,702503
554,687203
555,698003
556,693703
557,701003
558,728403
559,709003
560,681003
561,693003
562,680602
563,697702
564,721702
565,700002
566,688102
567,702002
568,734203
569,707303
570,704103
571,735903
572,688403
573,687103
574,705903
575,710003
576,714803
577,717503
578,695403
579,696003
580,703103
581,698503
582,717703
583,723203
584,686703
585,681503
586,705003
587,727503
588,712503
589,700203
590,741503
591,678703
592,690503
593,705103
594,709103
595,715303
596,729503
597,681803
598,695903
599,708403
